Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,isaias
New,New,lucas,marcos
New,New,apocalipsis,apocalipsis
Old,Old,salmoslibro1,salmoslibro1
New,New,filipenses,romanos
Old,Old,nehemias,jeremias
New,New,romanos,romanos
New,New,juan,juan
Old,Old,isaias,isaias
Old,Old,isaias,isaias
Old,Old,levitico,numeros
New,New,1tesalonicenses,hechos
New,New,2corintios,romanos
Old,Old,sofonias,jeremias
Old,Old,cantares,isaias
Old,Old,numeros,numeros
Old,Old,jueces,isaias
New,New,efesios,romanos
Old,Old,deuteronomio,jeremias
Old,Old,ezequie,ezequie
New,New,santiago,hechos
Old,Old,2reyes,2cronicas
Old,Old,oseas,jeremias
Old,Old,levitico,levitico
Old,Old,ezequie,ezequie
Old,Old,josue,josue
Old,Old,isaias,job
Old,Old,salmoslibro3,isaias
Old,Old,numeros,numeros
Old,Old,isaias,isaias
Old,Old,2samue,2samue
Old,Old,2cronicas,2cronicas
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
New,New,juan,juan
Old,Old,exodo,exodo
Old,Old,zacarias,jeremias
Old,Old,jeremias,jeremias
Old,Old,jueces,numeros
Old,Old,salmoslibro4,salmoslibro5
New,New,juan,juan
Old,Old,deuteronomio,deuteronomio
New,New,1corintios,romanos
New,New,mateo,marcos
New,New,apocalipsis,apocalipsis
Old,Old,2cronicas,1reyes
Old,Old,genesis,genesis
New,New,1corintios,1corintios
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro2,jeremias
Old,Old,miqueas,jeremias
Old,Old,deuteronomio,jeremias
Old,Old,2reyes,2reyes
Old,Old,1cronicas,1cronicas
Old,Old,levitico,levitico
Old,Old,salmoslibro1,isaias
New,New,mateo,lucas
Old,Old,jeremias,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro1
Old,Old,1reyes,2reyes
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro1
Old,Old,genesis,genesis
Old,Old,proverbios,proverbios
New,New,hechos,hechos
Old,Old,ru,genesis
New,New,hebreos,hechos
Old,Old,hageo,jeremias
Old,Old,2samue,2samue
Old,Old,salmoslibro2,isaias
Old,Old,1cronicas,1cronicas
Old,Old,salmoslibro1,salmoslibro1
Old,Old,malaquias,jeremias
Old,Old,jeremias,jeremias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro1
Old,Old,proverbios,proverbios
Old,Old,genesis,genesis
Old,Old,salmoslibro1,salmoslibro1
New,New,hebreos,hechos
Old,Old,jeremias,jeremias
Old,Old,genesis,genesis
Old,Old,salmoslibro1,salmoslibro1
Old,Old,jueces,jueces
Old,Old,1samue,1samue
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro1
New,New,hebreos,hechos
Old,Old,genesis,genesis
Old,Old,1cronicas,1cronicas
New,New,1corintios,romanos
Old,Old,isaias,isaias
Old,Old,nehemias,2cronicas
Old,Old,numeros,numeros
Old,Old,job,job
Old,Old,esdras,2cronicas
New,New,santiago,mateo
Old,Old,salmoslibro5,isaias
New,New,tito,hechos
Old,Old,salmoslibro1,salmoslibro1
Old,Old,job,job
Old,Old,ezequie,ezequie
Old,Old,salmoslibro3,isaias
New,New,lucas,mateo
Old,Old,2cronicas,2cronicas
Old,Old,2samue,1samue
Old,Old,oseas,jeremias
Old,Old,1samue,1samue
Old,Old,danie,jeremias
Old,Old,deuteronomio,deuteronomio
New,New,hebreos,hechos
Old,Old,ester,ester
Old,Old,sofonias,isaias
Old,Old,isaias,isaias
Old,Old,2cronicas,2cronicas
New,New,galatas,romanos
New,New,1pedro,romanos
Old,Old,salmoslibro5,salmoslibro1
Old,Old,danie,danie
Old,Old,2samue,1cronicas
Old,Old,levitico,levitico
Old,Old,1cronicas,1cronicas
Old,Old,proverbios,proverbios
New,New,1tesalonicenses,hechos
Old,Old,eclesiastes,proverbios
New,New,apocalipsis,apocalipsis
Old,Old,levitico,levitico
Old,Old,jeremias,jeremias
New,New,mateo,lucas
Old,Old,josue,josue
Old,Old,jeremias,jeremias
Old,Old,1samue,1samue
Old,Old,levitico,levitico
Old,Old,1samue,1samue
Old,Old,jueces,1samue
Old,Old,genesis,genesis
Old,Old,isaias,isaias
Old,Old,1samue,1samue
New,New,1corintios,1corintios
Old,Old,levitico,levitico
Old,Old,nehemias,2cronicas
Old,Old,job,job
Old,Old,numeros,numeros
Old,Old,salmoslibro3,isaias
Old,Old,ezequie,ezequie
Old,Old,genesis,genesis
New,New,2corintios,hechos
New,New,mateo,lucas
Old,Old,salmoslibro1,salmoslibro1
Old,Old,salmoslibro5,salmoslibro1
Old,Old,exodo,exodo
Old,Old,cantares,isaias
New,New,marcos,mateo
Old,Old,josue,josue
New,New,hechos,hechos
Old,Old,eclesiastes,proverbios
Old,Old,josue,josue
Old,Old,2samue,2samue
Old,Old,salmoslibro4,ezequie
Old,Old,salmoslibro1,salmoslibro1
New,Old,apocalipsis,apocalipsis
Old,Old,numeros,numeros
Old,Old,cantares,cantares
Old,Old,salmoslibro5,isaias
New,New,marcos,lucas
Old,Old,jueces,jueces
Old,Old,isaias,isaias
Old,Old,jeremias,jeremias
New,New,1timoteo,romanos
Old,Old,ezequie,ezequie
Old,Old,zacarias,jeremias
Old,Old,1samue,1samue
Old,Old,1samue,1samue
Old,Old,exodo,exodo
Old,Old,nehemias,jeremias
Old,Old,isaias,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,2cronicas,2cronicas
Old,Old,habacuc,isaias
Old,Old,josue,genesis
Old,Old,salmoslibro2,isaias
Old,Old,salmoslibro4,isaias
New,New,hechos,hechos
New,New,mateo,lucas
Old,Old,salmoslibro3,isaias
Old,Old,jueces,josue
