Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,isaias
New,New,lucas,lucas
New,New,apocalipsis,apocalipsis
Old,Old,salmoslibro1,salmoslibro5
New,New,filipenses,isaias
Old,Old,nehemias,jeremias
New,New,romanos,romanos
New,New,juan,juan
Old,Old,isaias,isaias
Old,Old,isaias,isaias
Old,Old,levitico,numeros
New,New,1tesalonicenses,isaias
New,New,2corintios,isaias
Old,Old,sofonias,isaias
Old,Old,cantares,salmoslibro5
Old,Old,numeros,exodo
Old,Old,jueces,isaias
New,New,efesios,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,ezequie,ezequie
New,New,santiago,salmoslibro5
Old,Old,2reyes,2cronicas
Old,Old,oseas,salmoslibro5
Old,Old,levitico,levitico
Old,Old,ezequie,genesis
Old,Old,josue,josue
Old,Old,isaias,job
Old,Old,salmoslibro3,salmoslibro5
Old,Old,numeros,genesis
Old,Old,isaias,isaias
Old,Old,2samue,genesis
Old,Old,2cronicas,jeremias
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
New,New,juan,juan
Old,Old,exodo,exodo
Old,Old,zacarias,salmoslibro5
Old,Old,jeremias,jeremias
Old,Old,jueces,numeros
Old,Old,salmoslibro4,salmoslibro5
New,New,juan,juan
Old,Old,deuteronomio,numeros
New,New,1corintios,salmoslibro5
New,New,mateo,genesis
New,New,apocalipsis,apocalipsis
Old,Old,2cronicas,2cronicas
Old,Old,genesis,genesis
New,New,1corintios,ezequie
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro2,salmoslibro5
Old,Old,miqueas,salmoslibro5
Old,Old,deuteronomio,deuteronomio
Old,Old,2reyes,2reyes
Old,Old,1cronicas,1cronicas
Old,Old,levitico,genesis
Old,Old,salmoslibro1,salmoslibro5
New,New,mateo,mateo
Old,Old,jeremias,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro5
Old,Old,1reyes,genesis
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro5
Old,Old,genesis,isaias
Old,Old,proverbios,proverbios
New,New,hechos,hechos
Old,Old,ru,isaias
New,Old,hebreos,salmoslibro5
Old,Old,hageo,isaias
Old,Old,2samue,isaias
Old,Old,salmoslibro2,salmoslibro5
Old,Old,1cronicas,isaias
Old,Old,salmoslibro1,salmoslibro5
Old,Old,malaquias,isaias
Old,Old,jeremias,jeremias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro5
Old,Old,proverbios,proverbios
Old,Old,genesis,genesis
Old,Old,salmoslibro1,salmoslibro5
New,Old,hebreos,isaias
Old,Old,jeremias,jeremias
Old,Old,genesis,genesis
Old,Old,salmoslibro1,salmoslibro5
Old,Old,jueces,genesis
Old,Old,1samue,1samue
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro5
New,New,hebreos,genesis
Old,Old,genesis,genesis
Old,Old,1cronicas,1cronicas
New,New,1corintios,salmoslibro5
Old,Old,isaias,ezequie
Old,Old,nehemias,2cronicas
Old,Old,numeros,numeros
Old,Old,job,job
Old,Old,esdras,isaias
New,New,santiago,ezequie
Old,Old,salmoslibro5,salmoslibro5
New,New,tito,salmoslibro5
Old,Old,salmoslibro1,salmoslibro5
Old,Old,job,job
Old,Old,ezequie,salmoslibro5
Old,Old,salmoslibro3,salmoslibro5
New,New,lucas,mateo
Old,Old,2cronicas,2cronicas
Old,Old,2samue,1cronicas
Old,Old,oseas,isaias
Old,Old,1samue,1samue
Old,Old,danie,ezequie
Old,Old,deuteronomio,deuteronomio
New,New,hebreos,salmoslibro5
Old,Old,ester,ester
Old,Old,sofonias,isaias
Old,Old,isaias,salmoslibro5
Old,Old,2cronicas,2cronicas
New,New,galatas,romanos
New,Old,1pedro,isaias
Old,Old,salmoslibro5,salmoslibro5
Old,Old,danie,genesis
Old,Old,2samue,1cronicas
Old,Old,levitico,genesis
Old,Old,1cronicas,genesis
Old,Old,proverbios,proverbios
New,New,1tesalonicenses,salmoslibro5
Old,Old,eclesiastes,job
New,Old,apocalipsis,apocalipsis
Old,Old,levitico,salmoslibro5
Old,Old,jeremias,jeremias
New,New,mateo,mateo
Old,Old,josue,salmoslibro5
Old,Old,jeremias,salmoslibro5
Old,Old,1samue,1samue
Old,Old,levitico,levitico
Old,Old,1samue,genesis
Old,Old,jueces,genesis
Old,Old,genesis,genesis
Old,Old,isaias,isaias
Old,Old,1samue,1samue
New,New,1corintios,1corintios
Old,Old,levitico,levitico
Old,Old,nehemias,salmoslibro5
Old,Old,job,job
Old,Old,numeros,numeros
Old,Old,salmoslibro3,salmoslibro5
Old,Old,ezequie,ezequie
Old,Old,genesis,genesis
New,New,2corintios,isaias
New,New,mateo,genesis
Old,Old,salmoslibro1,salmoslibro5
Old,Old,salmoslibro5,salmoslibro5
Old,Old,exodo,exodo
Old,Old,cantares,salmoslibro5
New,New,marcos,mateo
Old,Old,josue,numeros
New,New,hechos,job
Old,Old,eclesiastes,proverbios
Old,Old,josue,josue
Old,Old,2samue,2samue
Old,Old,salmoslibro4,salmoslibro5
Old,Old,salmoslibro1,salmoslibro5
New,Old,apocalipsis,apocalipsis
Old,Old,numeros,numeros
Old,Old,cantares,salmoslibro5
Old,Old,salmoslibro5,salmoslibro5
New,New,marcos,mateo
Old,Old,jueces,isaias
Old,Old,isaias,isaias
Old,Old,jeremias,jeremias
New,New,1timoteo,romanos
Old,Old,ezequie,ezequie
Old,Old,zacarias,jeremias
Old,Old,1samue,1samue
Old,Old,1samue,1samue
Old,Old,exodo,exodo
Old,Old,nehemias,jeremias
Old,Old,isaias,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,2cronicas,2cronicas
Old,Old,habacuc,isaias
Old,Old,josue,isaias
Old,Old,salmoslibro2,salmoslibro5
Old,Old,salmoslibro4,salmoslibro5
New,New,hechos,hechos
New,New,mateo,mateo
Old,Old,salmoslibro3,salmoslibro5
Old,Old,jueces,genesis
Old,Old,salmoslibro5,salmoslibro5
Old,Old,deuteronomio,deuteronomio
Old,Old,isaias,isaias
Old,Old,1reyes,jeremias
New,New,apocalipsis,apocalipsis
Old,Old,salmoslibro4,salmoslibro5
New,New,hebreos,salmoslibro5
Old,Old,deuteronomio,exodo
Old,Old,josue,josue
Old,Old,jeremias,jeremias
Old,Old,eclesiastes,proverbios
Old,Old,genesis,genesis
New,Old,2pedro,isaias
Old,Old,ezequie,salmoslibro5
Old,Old,1samue,1cronicas
New,New,hebreos,isaias
Old,Old,isaias,isaias
Old,Old,proverbios,isaias
Old,Old,job,job
Old,Old,sofonias,isaias
Old,Old,salmoslibro1,salmoslibro5
Old,Old,1reyes,genesis
New,New,mateo,mateo
Old,Old,ezequie,ezequie
Old,Old,miqueas,isaias
Old,Old,deuteronomio,exodo
Old,Old,genesis,genesis
Old,Old,proverbios,proverbios
Old,Old,isaias,isaias
Old,Old,oseas,isaias
Old,Old,genesis,genesis
Old,Old,job,job
Old,Old,deuteronomio,deuteronomio
Old,Old,isaias,isaias
Old,Old,salmoslibro1,salmoslibro5
Old,Old,oseas,salmoslibro5
Old,Old,1cronicas,genesis
Old,Old,ezequie,ezequie
Old,Old,job,isaias
Old,Old,1samue,1samue
Old,Old,2cronicas,2cronicas
Old,Old,1cronicas,1cronicas
Old,Old,genesis,isaias
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
Old,Old,1cronicas,genesis
New,Old,romanos,ezequie
New,New,santiago,isaias
Old,Old,levitico,numeros
Old,Old,oseas,isaias
