Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,isaias
New,New,lucas,marcos
New,New,apocalipsis,apocalipsis
Old,Old,salmoslibro1,salmoslibro5
New,New,filipenses,2corintios
Old,Old,nehemias,2cronicas
New,New,romanos,romanos
New,New,juan,marcos
Old,Old,isaias,isaias
Old,Old,isaias,isaias
Old,Old,levitico,numeros
New,New,1tesalonicenses,romanos
New,New,2corintios,2corintios
Old,Old,sofonias,jeremias
Old,Old,cantares,cantares
Old,Old,numeros,numeros
Old,Old,jueces,genesis
New,New,efesios,2corintios
Old,Old,deuteronomio,deuteronomio
Old,Old,ezequie,ezequie
New,New,santiago,romanos
Old,Old,2reyes,2cronicas
Old,Old,oseas,isaias
Old,Old,levitico,levitico
Old,Old,ezequie,ezequie
Old,Old,josue,josue
Old,Old,isaias,job
Old,Old,salmoslibro3,salmoslibro1
Old,Old,numeros,numeros
Old,Old,isaias,isaias
Old,Old,2samue,2samue
Old,Old,2cronicas,salmoslibro5
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
New,New,juan,juan
Old,Old,exodo,numeros
Old,Old,zacarias,isaias
Old,Old,jeremias,jeremias
Old,Old,jueces,jueces
Old,Old,salmoslibro4,salmoslibro5
New,New,juan,juan
Old,Old,deuteronomio,josue
New,New,1corintios,romanos
New,New,mateo,marcos
New,New,apocalipsis,apocalipsis
Old,Old,2cronicas,2cronicas
Old,Old,genesis,genesis
New,New,1corintios,1corintios
Old,Old,2cronicas,nehemias
Old,Old,salmoslibro2,salmoslibro1
Old,Old,miqueas,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,2reyes,2cronicas
Old,Old,1cronicas,1cronicas
Old,Old,levitico,levitico
Old,Old,salmoslibro1,job
New,New,mateo,mateo
Old,Old,jeremias,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro1
Old,Old,1reyes,2reyes
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro5
Old,Old,genesis,genesis
Old,Old,proverbios,proverbios
New,New,hechos,hechos
Old,Old,ru,genesis
New,New,hebreos,2corintios
Old,Old,hageo,isaias
Old,Old,2samue,1samue
Old,Old,salmoslibro2,salmoslibro5
Old,Old,1cronicas,1cronicas
Old,Old,salmoslibro1,salmoslibro1
Old,Old,malaquias,jeremias
Old,Old,jeremias,jeremias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro5
Old,Old,proverbios,proverbios
Old,Old,genesis,job
Old,Old,salmoslibro1,salmoslibro5
New,New,hebreos,salmoslibro5
Old,Old,jeremias,jeremias
Old,Old,genesis,genesis
Old,Old,salmoslibro1,salmoslibro1
Old,Old,jueces,jueces
Old,Old,1samue,1samue
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro5
New,New,hebreos,genesis
Old,Old,genesis,genesis
Old,Old,1cronicas,1cronicas
New,New,1corintios,romanos
Old,Old,isaias,isaias
Old,Old,nehemias,jeremias
Old,Old,numeros,josue
Old,Old,job,job
Old,Old,esdras,2cronicas
New,New,santiago,2corintios
Old,Old,salmoslibro5,salmoslibro5
New,New,tito,2corintios
Old,Old,salmoslibro1,salmoslibro5
Old,Old,job,job
Old,Old,ezequie,isaias
Old,Old,salmoslibro3,salmoslibro5
New,New,lucas,mateo
Old,Old,2cronicas,2cronicas
Old,Old,2samue,1samue
Old,Old,oseas,oseas
Old,Old,1samue,1samue
Old,Old,danie,jeremias
Old,Old,deuteronomio,deuteronomio
New,New,hebreos,2corintios
Old,Old,ester,ester
Old,Old,sofonias,isaias
Old,Old,isaias,isaias
Old,Old,2cronicas,2cronicas
New,New,galatas,romanos
New,New,1pedro,romanos
Old,Old,salmoslibro5,salmoslibro5
Old,Old,danie,danie
Old,Old,2samue,1cronicas
Old,Old,levitico,genesis
Old,Old,1cronicas,1cronicas
Old,Old,proverbios,proverbios
New,New,1tesalonicenses,salmoslibro5
Old,Old,eclesiastes,job
New,New,apocalipsis,apocalipsis
Old,Old,levitico,salmoslibro5
Old,Old,jeremias,jeremias
New,New,mateo,mateo
Old,Old,josue,josue
Old,Old,jeremias,salmoslibro5
Old,Old,1samue,1samue
Old,Old,levitico,ezequie
Old,Old,1samue,1samue
Old,Old,jueces,jueces
Old,Old,genesis,genesis
Old,Old,isaias,isaias
Old,Old,1samue,1samue
New,New,1corintios,1corintios
Old,Old,levitico,levitico
Old,Old,nehemias,salmoslibro5
Old,Old,job,job
Old,Old,numeros,numeros
Old,Old,salmoslibro3,salmoslibro1
Old,Old,ezequie,levitico
Old,Old,genesis,genesis
New,New,2corintios,2corintios
New,New,mateo,lucas
Old,Old,salmoslibro1,salmoslibro5
Old,Old,salmoslibro5,salmoslibro5
Old,Old,exodo,exodo
Old,Old,cantares,cantares
New,New,marcos,mateo
Old,Old,josue,josue
New,New,hechos,mateo
Old,Old,eclesiastes,proverbios
Old,Old,josue,josue
Old,Old,2samue,2samue
Old,Old,salmoslibro4,salmoslibro5
Old,Old,salmoslibro1,salmoslibro5
New,New,apocalipsis,apocalipsis
Old,Old,numeros,numeros
Old,Old,cantares,cantares
Old,Old,salmoslibro5,salmoslibro5
New,New,marcos,lucas
Old,Old,jueces,genesis
Old,Old,isaias,isaias
Old,Old,jeremias,jeremias
New,New,1timoteo,romanos
Old,Old,ezequie,ezequie
Old,Old,zacarias,jeremias
Old,Old,1samue,1samue
Old,Old,1samue,1samue
Old,Old,exodo,salmoslibro5
Old,Old,nehemias,deuteronomio
Old,Old,isaias,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,2cronicas,2cronicas
Old,Old,habacuc,isaias
Old,Old,josue,jueces
Old,Old,salmoslibro2,salmoslibro5
Old,Old,salmoslibro4,salmoslibro5
New,New,hechos,hechos
