Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,isaias
New,New,lucas,lucas
New,Old,apocalipsis,isaias
Old,Old,salmoslibro1,salmoslibro1
New,New,filipenses,isaias
Old,Old,nehemias,jeremias
New,New,romanos,isaias
New,New,juan,juan
Old,Old,isaias,isaias
Old,Old,isaias,isaias
Old,Old,levitico,numeros
New,New,1tesalonicenses,hechos
New,New,2corintios,isaias
Old,Old,sofonias,jeremias
Old,Old,cantares,isaias
Old,Old,numeros,exodo
Old,Old,jueces,isaias
New,New,efesios,isaias
Old,Old,deuteronomio,jeremias
Old,Old,ezequie,ezequie
New,Old,santiago,isaias
Old,Old,2reyes,jeremias
Old,Old,oseas,isaias
Old,Old,levitico,numeros
Old,Old,ezequie,ezequie
Old,Old,josue,jeremias
Old,Old,isaias,isaias
Old,Old,salmoslibro3,isaias
Old,Old,numeros,numeros
Old,Old,isaias,isaias
Old,Old,2samue,jeremias
Old,Old,2cronicas,jeremias
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
New,New,juan,juan
Old,Old,exodo,exodo
Old,Old,zacarias,jeremias
Old,Old,jeremias,jeremias
Old,Old,jueces,jeremias
Old,Old,salmoslibro4,isaias
New,Old,juan,jeremias
Old,Old,deuteronomio,jeremias
New,New,1corintios,isaias
New,New,mateo,lucas
New,Old,apocalipsis,isaias
Old,Old,2cronicas,jeremias
Old,Old,genesis,genesis
New,New,1corintios,isaias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro2,isaias
Old,Old,miqueas,isaias
Old,Old,deuteronomio,jeremias
Old,Old,2reyes,2cronicas
Old,Old,1cronicas,1cronicas
Old,Old,levitico,isaias
Old,Old,salmoslibro1,isaias
New,New,mateo,lucas
Old,Old,jeremias,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro5
Old,Old,1reyes,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,isaias
Old,Old,genesis,isaias
Old,Old,proverbios,proverbios
New,New,hechos,hechos
Old,Old,ru,genesis
New,Old,hebreos,isaias
Old,Old,hageo,jeremias
Old,Old,2samue,jeremias
Old,Old,salmoslibro2,isaias
Old,Old,1cronicas,numeros
Old,Old,salmoslibro1,isaias
Old,Old,malaquias,jeremias
Old,Old,jeremias,jeremias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,salmoslibro1
Old,Old,proverbios,proverbios
Old,Old,genesis,isaias
Old,Old,salmoslibro1,isaias
New,Old,hebreos,isaias
Old,Old,jeremias,jeremias
Old,Old,genesis,jeremias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,jueces,jeremias
Old,Old,1samue,1samue
Old,Old,isaias,isaias
Old,Old,salmoslibro2,isaias
New,Old,hebreos,genesis
Old,Old,genesis,genesis
Old,Old,1cronicas,numeros
New,New,1corintios,isaias
Old,Old,isaias,isaias
Old,Old,nehemias,jeremias
Old,Old,numeros,numeros
Old,Old,job,isaias
Old,Old,esdras,jeremias
New,Old,santiago,isaias
Old,Old,salmoslibro5,isaias
New,New,tito,isaias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,job,job
Old,Old,ezequie,ezequie
Old,Old,salmoslibro3,isaias
New,Old,lucas,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,2samue,1samue
Old,Old,oseas,isaias
Old,Old,1samue,1samue
Old,Old,danie,jeremias
Old,Old,deuteronomio,jeremias
New,Old,hebreos,exodo
Old,Old,ester,jeremias
Old,Old,sofonias,isaias
Old,Old,isaias,isaias
Old,Old,2cronicas,jeremias
New,New,galatas,genesis
New,Old,1pedro,isaias
Old,Old,salmoslibro5,isaias
Old,Old,danie,isaias
Old,Old,2samue,1cronicas
Old,Old,levitico,jeremias
Old,Old,1cronicas,genesis
Old,Old,proverbios,proverbios
New,New,1tesalonicenses,isaias
Old,Old,eclesiastes,isaias
New,Old,apocalipsis,isaias
Old,Old,levitico,levitico
Old,Old,jeremias,jeremias
New,New,mateo,lucas
Old,Old,josue,isaias
Old,Old,jeremias,jeremias
Old,Old,1samue,1samue
Old,Old,levitico,levitico
Old,Old,1samue,1samue
Old,Old,jueces,jeremias
Old,Old,genesis,genesis
Old,Old,isaias,isaias
Old,Old,1samue,1samue
New,New,1corintios,isaias
Old,Old,levitico,numeros
Old,Old,nehemias,jeremias
Old,Old,job,job
Old,Old,numeros,numeros
Old,Old,salmoslibro3,isaias
Old,Old,ezequie,ezequie
Old,Old,genesis,genesis
New,New,2corintios,isaias
New,Old,mateo,isaias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,salmoslibro5,salmoslibro1
Old,Old,exodo,exodo
Old,Old,cantares,isaias
New,New,marcos,isaias
Old,Old,josue,numeros
New,New,hechos,hechos
Old,Old,eclesiastes,proverbios
Old,Old,josue,josue
Old,Old,2samue,2samue
Old,Old,salmoslibro4,isaias
Old,Old,salmoslibro1,salmoslibro1
New,Old,apocalipsis,isaias
Old,Old,numeros,numeros
Old,Old,cantares,isaias
Old,Old,salmoslibro5,isaias
New,New,marcos,lucas
Old,Old,jueces,jeremias
Old,Old,isaias,isaias
Old,Old,jeremias,jeremias
New,New,1timoteo,isaias
Old,Old,ezequie,ezequie
Old,Old,zacarias,jeremias
Old,Old,1samue,1samue
Old,Old,1samue,1samue
Old,Old,exodo,exodo
Old,Old,nehemias,isaias
Old,Old,isaias,isaias
Old,Old,deuteronomio,jeremias
Old,Old,2cronicas,jeremias
Old,Old,habacuc,isaias
Old,Old,josue,isaias
Old,Old,salmoslibro2,isaias
Old,Old,salmoslibro4,isaias
New,New,hechos,hechos
New,New,mateo,lucas
Old,Old,salmoslibro3,isaias
Old,Old,jueces,jeremias
Old,Old,salmoslibro5,salmoslibro2
Old,Old,deuteronomio,jeremias
Old,Old,isaias,isaias
Old,Old,1reyes,jeremias
New,Old,apocalipsis,isaias
Old,Old,salmoslibro4,isaias
New,Old,hebreos,isaias
Old,Old,deuteronomio,exodo
Old,Old,josue,numeros
Old,Old,jeremias,jeremias
Old,Old,eclesiastes,proverbios
Old,Old,genesis,genesis
New,Old,2pedro,isaias
Old,Old,ezequie,jeremias
Old,Old,1samue,1samue
New,New,hebreos,isaias
Old,Old,isaias,isaias
Old,Old,proverbios,isaias
Old,Old,job,job
Old,Old,sofonias,isaias
Old,Old,salmoslibro1,isaias
Old,Old,1reyes,jeremias
New,New,mateo,lucas
Old,Old,ezequie,ezequie
Old,Old,miqueas,isaias
Old,Old,deuteronomio,exodo
Old,Old,genesis,genesis
Old,Old,proverbios,proverbios
Old,Old,isaias,isaias
Old,Old,oseas,isaias
Old,Old,genesis,genesis
Old,Old,job,job
Old,Old,deuteronomio,exodo
Old,Old,isaias,isaias
Old,Old,salmoslibro1,proverbios
Old,Old,oseas,jeremias
Old,Old,1cronicas,numeros
Old,Old,ezequie,ezequie
Old,Old,job,isaias
Old,Old,1samue,isaias
Old,Old,2cronicas,jeremias
Old,Old,1cronicas,1cronicas
Old,Old,genesis,genesis
Old,Old,ezequie,ezequie
Old,Old,isaias,isaias
Old,Old,1cronicas,genesis
New,Old,romanos,isaias
New,Old,santiago,isaias
Old,Old,levitico,exodo
Old,Old,oseas,jeremias
