Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,exodo
New,Old,lucas,jeremias
New,Old,apocalipsis,ezequie
Old,Old,salmoslibro1,salmoslibro1
New,Old,filipenses,jeremias
Old,Old,nehemias,exodo
New,Old,romanos,genesis
New,Old,juan,2cronicas
Old,Old,isaias,jeremias
Old,Old,isaias,exodo
Old,Old,levitico,isaias
New,Old,1tesalonicenses,genesis
New,Old,2corintios,ezequie
Old,Old,sofonias,2cronicas
Old,Old,cantares,isaias
Old,Old,numeros,genesis
Old,Old,jueces,jeremias
New,Old,efesios,jeremias
Old,Old,deuteronomio,jeremias
Old,Old,ezequie,exodo
New,Old,santiago,jeremias
Old,Old,2reyes,2cronicas
Old,Old,oseas,2cronicas
Old,Old,levitico,salmoslibro1
Old,Old,ezequie,exodo
Old,Old,josue,exodo
Old,Old,isaias,jeremias
Old,Old,salmoslibro3,isaias
Old,Old,numeros,isaias
Old,Old,isaias,isaias
Old,Old,2samue,isaias
Old,Old,2cronicas,2cronicas
Old,Old,ezequie,jeremias
Old,Old,isaias,jeremias
New,Old,juan,jeremias
Old,Old,exodo,exodo
Old,Old,zacarias,jeremias
Old,Old,jeremias,jeremias
Old,Old,jueces,numeros
Old,Old,salmoslibro4,genesis
New,Old,juan,jeremias
Old,Old,deuteronomio,2cronicas
New,Old,1corintios,jeremias
New,Old,mateo,isaias
New,Old,apocalipsis,jeremias
Old,Old,2cronicas,jeremias
Old,Old,genesis,isaias
New,Old,1corintios,ezequie
Old,Old,2cronicas,exodo
Old,Old,salmoslibro2,salmoslibro1
Old,Old,miqueas,2cronicas
Old,Old,deuteronomio,isaias
Old,Old,2reyes,2cronicas
Old,Old,1cronicas,genesis
Old,Old,levitico,2cronicas
Old,Old,salmoslibro1,salmoslibro1
New,Old,mateo,jeremias
Old,Old,jeremias,ezequie
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro1
Old,Old,1reyes,jeremias
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,exodo
Old,Old,genesis,isaias
Old,Old,proverbios,exodo
New,Old,hechos,jeremias
Old,Old,ru,isaias
New,Old,hebreos,jeremias
Old,Old,hageo,jeremias
Old,Old,2samue,salmoslibro1
Old,Old,salmoslibro2,isaias
Old,Old,1cronicas,genesis
Old,Old,salmoslibro1,salmoslibro1
Old,Old,malaquias,jeremias
Old,Old,jeremias,jeremias
Old,Old,isaias,jeremias
Old,Old,salmoslibro2,salmoslibro5
Old,Old,proverbios,isaias
Old,Old,genesis,jeremias
Old,Old,salmoslibro1,jeremias
New,Old,hebreos,jeremias
