Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,exodo
New,New,lucas,jeremias
New,Old,apocalipsis,jeremias
Old,Old,salmoslibro1,salmoslibro1
New,New,filipenses,ezequie
Old,Old,nehemias,exodo
New,Old,romanos,genesis
New,Old,juan,2cronicas
Old,Old,isaias,ezequie
Old,Old,isaias,exodo
Old,Old,levitico,isaias
New,Old,1tesalonicenses,genesis
New,Old,2corintios,ezequie
Old,Old,sofonias,2cronicas
Old,Old,cantares,isaias
Old,Old,numeros,genesis
Old,Old,jueces,jeremias
New,Old,efesios,ezequie
Old,New,deuteronomio,ezequie
Old,Old,ezequie,exodo
New,Old,santiago,isaias
Old,Old,2reyes,2cronicas
Old,Old,oseas,2cronicas
Old,Old,levitico,salmoslibro1
Old,Old,ezequie,exodo
Old,Old,josue,exodo
Old,New,isaias,jeremias
Old,Old,salmoslibro3,isaias
Old,Old,numeros,2cronicas
Old,Old,isaias,isaias
Old,Old,2samue,2cronicas
Old,Old,2cronicas,2cronicas
Old,New,ezequie,ezequie
Old,Old,isaias,jeremias
New,New,juan,ezequie
Old,Old,exodo,exodo
Old,New,zacarias,ezequie
Old,New,jeremias,ezequie
Old,Old,jueces,jeremias
Old,Old,salmoslibro4,genesis
New,New,juan,ezequie
Old,Old,deuteronomio,2cronicas
New,New,1corintios,ezequie
New,Old,mateo,2cronicas
New,New,apocalipsis,ezequie
Old,New,2cronicas,ezequie
Old,Old,genesis,isaias
New,Old,1corintios,ezequie
Old,Old,2cronicas,deuteronomio
Old,Old,salmoslibro2,salmoslibro1
Old,Old,miqueas,2cronicas
Old,Old,deuteronomio,isaias
Old,Old,2reyes,2cronicas
Old,Old,1cronicas,genesis
Old,Old,levitico,2cronicas
Old,Old,salmoslibro1,salmoslibro1
New,New,mateo,jeremias
Old,Old,jeremias,job
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,salmoslibro1
Old,New,1reyes,ezequie
Old,Old,2cronicas,2cronicas
Old,Old,salmoslibro5,exodo
Old,Old,genesis,exodo
Old,Old,proverbios,exodo
New,New,hechos,ezequie
Old,Old,ru,isaias
New,New,hebreos,ezequie
Old,New,hageo,ezequie
Old,Old,2samue,salmoslibro1
Old,Old,salmoslibro2,isaias
Old,Old,1cronicas,genesis
Old,Old,salmoslibro1,salmoslibro1
Old,New,malaquias,ezequie
Old,New,jeremias,jeremias
Old,Old,isaias,jeremias
Old,Old,salmoslibro2,exodo
Old,Old,proverbios,2cronicas
Old,New,genesis,ezequie
Old,Old,salmoslibro1,ezequie
New,Old,hebreos,jeremias
Old,Old,jeremias,ezequie
Old,Old,genesis,isaias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,jueces,salmoslibro1
Old,Old,1samue,genesis
Old,New,isaias,jeremias
Old,Old,salmoslibro2,jeremias
New,Old,hebreos,genesis
Old,Old,genesis,exodo
Old,Old,1cronicas,genesis
New,New,1corintios,ezequie
Old,Old,isaias,2cronicas
Old,Old,nehemias,jeremias
Old,Old,numeros,exodo
Old,Old,job,salmoslibro1
Old,Old,esdras,genesis
New,Old,santiago,isaias
Old,Old,salmoslibro5,exodo
New,New,tito,ezequie
Old,New,salmoslibro1,ezequie
Old,Old,job,jeremias
Old,Old,ezequie,2cronicas
Old,Old,salmoslibro3,salmoslibro1
New,New,lucas,jeremias
Old,Old,2cronicas,salmoslibro1
Old,Old,2samue,salmoslibro1
Old,Old,oseas,2cronicas
Old,Old,1samue,salmoslibro1
Old,New,danie,jeremias
Old,Old,deuteronomio,salmoslibro1
New,Old,hebreos,2cronicas
Old,Old,ester,2cronicas
Old,Old,sofonias,isaias
Old,New,isaias,ezequie
Old,Old,2cronicas,isaias
New,Old,galatas,genesis
New,New,1pedro,ezequie
Old,Old,salmoslibro5,salmoslibro1
Old,Old,danie,2cronicas
Old,Old,2samue,jeremias
Old,Old,levitico,exodo
Old,Old,1cronicas,genesis
Old,Old,proverbios,2cronicas
New,Old,1tesalonicenses,jeremias
Old,Old,eclesiastes,2cronicas
New,Old,apocalipsis,isaias
Old,Old,levitico,salmoslibro1
Old,Old,jeremias,jeremias
New,Old,mateo,2cronicas
Old,New,josue,jeremias
Old,Old,jeremias,exodo
Old,Old,1samue,salmoslibro1
Old,Old,levitico,salmoslibro1
Old,Old,1samue,genesis
Old,Old,jueces,2cronicas
Old,Old,genesis,exodo
Old,Old,isaias,salmoslibro1
Old,Old,1samue,salmoslibro1
New,New,1corintios,ezequie
Old,Old,levitico,genesis
Old,Old,nehemias,deuteronomio
Old,Old,job,isaias
Old,Old,numeros,salmoslibro1
Old,Old,salmoslibro3,ezequie
Old,Old,ezequie,exodo
Old,Old,genesis,exodo
New,New,2corintios,ezequie
New,New,mateo,jeremias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,salmoslibro5,salmoslibro1
Old,Old,exodo,exodo
Old,Old,cantares,ezequie
New,New,marcos,ezequie
Old,Old,josue,exodo
New,Old,hechos,apocalipsis
Old,Old,eclesiastes,2cronicas
