Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,isaias,isaias
New,Old,lucas,isaias
New,Old,apocalipsis,isaias
Old,Old,salmoslibro1,isaias
New,Old,filipenses,isaias
Old,Old,nehemias,isaias
New,Old,romanos,isaias
New,Old,juan,isaias
Old,Old,isaias,isaias
Old,Old,isaias,isaias
Old,Old,levitico,isaias
New,Old,1tesalonicenses,isaias
New,Old,2corintios,isaias
Old,Old,sofonias,isaias
Old,Old,cantares,isaias
Old,Old,numeros,isaias
Old,Old,jueces,isaias
New,Old,efesios,isaias
Old,Old,deuteronomio,isaias
Old,Old,ezequie,isaias
New,Old,santiago,isaias
Old,Old,2reyes,isaias
Old,Old,oseas,isaias
Old,Old,levitico,isaias
Old,Old,ezequie,isaias
Old,Old,josue,isaias
Old,Old,isaias,isaias
Old,Old,salmoslibro3,isaias
Old,Old,numeros,isaias
Old,Old,isaias,isaias
Old,Old,2samue,isaias
Old,Old,2cronicas,isaias
Old,Old,ezequie,isaias
Old,Old,isaias,isaias
New,Old,juan,isaias
Old,Old,exodo,isaias
Old,Old,zacarias,isaias
Old,Old,jeremias,isaias
Old,Old,jueces,isaias
Old,Old,salmoslibro4,isaias
New,Old,juan,isaias
Old,Old,deuteronomio,isaias
New,Old,1corintios,isaias
New,Old,mateo,isaias
New,Old,apocalipsis,isaias
Old,Old,2cronicas,isaias
Old,Old,genesis,isaias
New,Old,1corintios,isaias
Old,Old,2cronicas,isaias
Old,Old,salmoslibro2,isaias
Old,Old,miqueas,isaias
Old,Old,deuteronomio,isaias
Old,Old,2reyes,isaias
Old,Old,1cronicas,isaias
Old,Old,levitico,isaias
Old,Old,salmoslibro1,isaias
New,Old,mateo,isaias
Old,Old,jeremias,isaias
Old,Old,2cronicas,isaias
Old,Old,salmoslibro5,isaias
Old,Old,1reyes,isaias
Old,Old,2cronicas,isaias
Old,Old,salmoslibro5,isaias
Old,Old,genesis,isaias
Old,Old,proverbios,isaias
New,Old,hechos,isaias
Old,Old,ru,isaias
New,Old,hebreos,isaias
Old,Old,hageo,isaias
Old,Old,2samue,isaias
Old,Old,salmoslibro2,isaias
Old,Old,1cronicas,isaias
Old,Old,salmoslibro1,isaias
Old,Old,malaquias,isaias
Old,Old,jeremias,isaias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,isaias
Old,Old,proverbios,isaias
Old,Old,genesis,isaias
Old,Old,salmoslibro1,isaias
New,Old,hebreos,isaias
Old,Old,jeremias,isaias
Old,Old,genesis,isaias
Old,Old,salmoslibro1,isaias
Old,Old,jueces,isaias
Old,Old,1samue,isaias
Old,Old,isaias,isaias
Old,Old,salmoslibro2,isaias
New,Old,hebreos,isaias
Old,Old,genesis,isaias
Old,Old,1cronicas,isaias
New,Old,1corintios,isaias
Old,Old,isaias,isaias
Old,Old,nehemias,isaias
Old,Old,numeros,isaias
Old,Old,job,isaias
Old,Old,esdras,isaias
New,Old,santiago,isaias
Old,Old,salmoslibro5,isaias
New,Old,tito,isaias
Old,Old,salmoslibro1,isaias
Old,Old,job,isaias
Old,Old,ezequie,isaias
Old,Old,salmoslibro3,isaias
New,Old,lucas,isaias
Old,Old,2cronicas,isaias
Old,Old,2samue,isaias
Old,Old,oseas,isaias
Old,Old,1samue,isaias
Old,Old,danie,isaias
Old,Old,deuteronomio,isaias
New,Old,hebreos,isaias
Old,Old,ester,isaias
Old,Old,sofonias,isaias
Old,Old,isaias,isaias
Old,Old,2cronicas,isaias
New,Old,galatas,isaias
New,Old,1pedro,isaias
Old,Old,salmoslibro5,isaias
Old,Old,danie,isaias
Old,Old,2samue,isaias
Old,Old,levitico,isaias
Old,Old,1cronicas,isaias
Old,Old,proverbios,isaias
New,Old,1tesalonicenses,isaias
Old,Old,eclesiastes,isaias
New,Old,apocalipsis,isaias
Old,Old,levitico,isaias
Old,Old,jeremias,isaias
New,Old,mateo,isaias
Old,Old,josue,isaias
Old,Old,jeremias,isaias
Old,Old,1samue,isaias
